model,tool,benchmark,parameter,score,weight,weighted_score,note
claude-opus-4-8,cursor,github-repository-bootstrap,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Requirement traceability,1,10.5,0.105,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (1); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Task granularity,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Test-plan coverage,3,10.5,0.315,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Code-reference accuracy,4,7,0.280,"MEASURED (Opus 4.8): cursor/planning/plan.md cites real paths/HCL identifiers (local.lock_branch, local.permissions, local.teams, ?ref=v0.2.17) and states the team_access block has 'all 53 entries' (lines 59, 80) -- the correct count. The v1 Opus 4.7 cursor plan on this cell scored 3 because it claimed '47 entries' (a documented count error vs the verified 53); Opus 4.8 fixes that count. Still a placeholder rather than an inlined verbatim block, so 4 not 5. Anchor 4: 'references verifiable; minor stale signatures.'"
claude-opus-4-8,cursor,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Reproducibility (artifact persistence),3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=76 (1.3 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,cursor,github-repository-bootstrap,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $1.28 (rate-sheet weighted 30/70: tokens=67600 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,cursor,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
