model,tool,benchmark,parameter,score,weight,weighted_score,note
gpt-5-5,cursor,github-repository-bootstrap,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Requirement traceability,1,10.5,0.105,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (1). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Task granularity,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Test-plan coverage,3,10.5,0.315,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Reproducibility (artifact persistence),3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=83 (1.4 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,cursor,github-repository-bootstrap,Token / API cost,4,3.5,0.14,GPT-5-5 planning leg cost = $0.97 (rate-sheet weighted 30/70: tokens=43200 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 4: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 2.
gpt-5-5,cursor,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Requirement traceability,2,10.5,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Task granularity,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Test-plan coverage,5,10.5,0.525,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,MCP / external-source integration,5,7,0.35,"metadata.json mcp_servers=[github, Atlassian-MCP-Server]; the operator-curated mcp-calls.md (clean scoring view) + mcp-calls.txt (raw redacted dump) enumerates 16 verified MCP invocations (2 Atlassian: getJiraIssue for CR-VIDEO-001 + getJiraIssueRemoteIssueLinks; 14 github: getMe + 13 get_file_contents) totaling ~115 KB of fetched source + ticket data. All 12 core-services calls explicitly carry ref: feature/bench-30b69674; the single api-repo call carries sha: 5ee5fcb7... (the immutable ref the ticket cites). Plan body cites Jira comments by Manuel Muniz and Luis Herrera by author name and links the CMS Worker reference via permalink. Anchor 5: 'Planner reads, summarizes, and cites Jira/GitHub correctly; integrates ticket comments and linked code into the plan.' Cross-model parity with Opus on this parameter (15 vs 16 calls, same traversal pattern, same pin compliance)."
gpt-5-5,cursor,worker-video-feature,Reproducibility (artifact persistence),3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=119 (2.0 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,cursor,worker-video-feature,Token / API cost,3,3.5,0.10,GPT-5-5 planning leg cost = $1.68 (rate-sheet weighted 30/70: tokens=74500 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 2.
gpt-5-5,cursor,worker-video-feature,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Artifact completeness,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Requirement traceability,2,10.5,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
