model,tool,benchmark,repeat,parameter,score,weight,weighted_score,note
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Test-plan coverage,5,10.5,0.525,HELD 5 (calibration): repeats batch validation in a grouped 'Validate' section exactly like frozen repeat-0's tasks.md; frozen anchor preserved for like-for-like.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Code-reference accuracy,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Reproducibility (artifact persistence),5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 553s (9.2 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Token / API cost,4,3.5,0.14,MECHANICAL: planning cost $0.761 (40063 tok x $19/M rate-card) -> anchor 4.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r1,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Test-plan coverage,5,10.5,0.525,HELD 5 (calibration): repeats batch validation in a grouped 'Validate' section exactly like frozen repeat-0's tasks.md; frozen anchor preserved for like-for-like.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Code-reference accuracy,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Reproducibility (artifact persistence),5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 208s (3.5 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Token / API cost,4,3.5,0.14,MECHANICAL: planning cost $0.605 (31855 tok x $19/M rate-card) -> anchor 4.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,github-repository-bootstrap,r2,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Code-reference accuracy,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,MCP / external-source integration,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Reproducibility (artifact persistence),5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 360s (6.0 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,worker-video-feature,r1,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.429 (75231 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,openspec,worker-video-feature,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r1,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Code-reference accuracy,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,MCP / external-source integration,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Reproducibility (artifact persistence),5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 588s (9.8 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,worker-video-feature,r2,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.508 (79350 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,openspec,worker-video-feature,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,worker-video-feature,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,worker-video-feature,r2,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Test-plan coverage,5,10.5,0.525,"HELD 5 (calibration): spec scenario coverage matches/exceeds frozen (repeat-1=50, repeat-2=44 vs frozen 40 WHEN/THEN scenario blocks); frozen anchor preserved."
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Code-reference accuracy,3,7,0.21,CONTENT-MOVE 4->3: cross-artefact naming drift -- content-model/spec.md defines a 'blog' collection and /es/blog/hola-mundo/ URL while design.md/tasks.md use /articles/ (12 refs); repeat-0 and repeat-2 are internally coherent. Anchor 3.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Reproducibility (artifact persistence),5,7,0.35,HELD 5 (calibration): identical 4-artefact change dir (proposal/design/tasks/specs) as frozen repeat-0; openspec change is CLI-validatable; frozen anchor preserved.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 328s (5.5 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.085 (57111 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r1,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Artifact completeness,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Requirement traceability,2,10.5,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Test-plan coverage,5,10.5,0.525,"HELD 5 (calibration): spec scenario coverage matches/exceeds frozen (repeat-1=50, repeat-2=44 vs frozen 40 WHEN/THEN scenario blocks); frozen anchor preserved."
